invoice_no,customer_id,invoice_date,country,total_amount
536500,17377,2010-12-01 12:35:00,United Kingdom,223.89999999999998
536502,16552,2010-12-01 12:36:00,United Kingdom,95.29
536508,17181,2010-12-01 12:38:00,United Kingdom,155.52
536514,17951,2010-12-01 12:40:00,United Kingdom,295.50000000000006
536520,14729,2010-12-01 12:43:00,United Kingdom,313.49000000000007
536521,12748,2010-12-01 12:48:00,United Kingdom,4.95
536522,15012,2010-12-01 12:49:00,United Kingdom,191.05999999999997
536523,12868,2010-12-01 12:50:00,United Kingdom,203.29999999999998
536524,17572,2010-12-01 12:51:00,United Kingdom,70.80000000000001
536525,14078,2010-12-01 12:54:00,United Kingdom,136.24
536526,14001,2010-12-01 12:58:00,United Kingdom,301.24
536527,12662,2010-12-01 13:04:00,Germany,261.48
536528,15525,2010-12-01 13:17:00,United Kingdom,313.93
536529,14237,2010-12-01 13:20:00,United Kingdom,161.00000000000003
536530,17905,2010-12-01 13:21:00,United Kingdom,201.74999999999994
536531,15485,2010-12-01 13:23:00,United Kingdom,950.0899999999999
536532,12433,2010-12-01 13:24:00,Norway,1919.1399999999999
536533,16955,2010-12-01 13:31:00,United Kingdom,156.09999999999997
536534,15350,2010-12-01 13:33:00,United Kingdom,115.65
536535,15605,2010-12-01 13:38:00,United Kingdom,194.85000000000002
536536,18144,2010-12-01 13:45:00,United Kingdom,165.04999999999998
536537,15922,2010-12-01 13:51:00,United Kingdom,369.50000000000006
536538,14594,2010-12-01 13:54:00,United Kingdom,254.99999999999997
536539,15165,2010-12-01 14:03:00,United Kingdom,487.75
536540,14911,2010-12-01 14:05:00,EIRE,540.3799999999999
536541,14911,2010-12-01 14:05:00,EIRE,15.0
536542,16456,2010-12-01 14:11:00,United Kingdom,787.4
536551,17346,2010-12-01 14:34:00,United Kingdom,146.60999999999999
536556,17643,2010-12-01 14:38:00,United Kingdom,101.55
536557,17841,2010-12-01 14:41:00,United Kingdom,537.3800000000001
536559,17873,2010-12-01 14:54:00,United Kingdom,215.14999999999998
536560,13093,2010-12-01 15:00:00,United Kingdom,799.4
536561,12921,2010-12-01 15:06:00,United Kingdom,322.4
536562,13468,2010-12-01 15:08:00,United Kingdom,308.65000000000003
536563,17760,2010-12-01 15:08:00,United Kingdom,172.54
536564,13468,2010-12-01 15:08:00,United Kingdom,51.4
536566,16928,2010-12-01 15:21:00,United Kingdom,116.25
536567,16048,2010-12-01 15:27:00,United Kingdom,251.40000000000003
536568,16048,2010-12-01 15:28:00,United Kingdom,5.04
536569,16274,2010-12-01 15:35:00,United Kingdom,357.94999999999993
536570,14496,2010-12-01 15:35:00,United Kingdom,304.34000000000003
536571,14696,2010-12-01 15:37:00,United Kingdom,294.61999999999995
536572,16539,2010-12-01 15:40:00,United Kingdom,442.35
536573,17025,2010-12-01 15:45:00,United Kingdom,143.12
536574,17025,2010-12-01 15:46:00,United Kingdom,17.85
536575,13777,2010-12-01 16:01:00,United Kingdom,1552.98
536576,13777,2010-12-01 16:11:00,United Kingdom,2558.42
536577,13777,2010-12-01 16:13:00,United Kingdom,497.0
536578,17690,2010-12-01 16:15:00,United Kingdom,279.6
536579,13777,2010-12-01 16:16:00,United Kingdom,315.96000000000004
536580,17690,2010-12-01 16:17:00,United Kingdom,97.2
536581,13777,2010-12-01 16:19:00,United Kingdom,330.0
536582,12947,2010-12-01 16:21:00,United Kingdom,304.03999999999996
536583,13777,2010-12-01 16:21:00,United Kingdom,198.0
536584,13777,2010-12-01 16:22:00,United Kingdom,1132.8000000000002
536585,17460,2010-12-01 16:24:00,United Kingdom,19.9
536586,18229,2010-12-01 16:25:00,United Kingdom,344.2
536587,14142,2010-12-01 16:33:00,United Kingdom,311.81
536588,17069,2010-12-01 16:49:00,United Kingdom,277.05
536590,13065,2010-12-01 16:52:00,United Kingdom,205.85999999999999
536591,14606,2010-12-01 16:57:00,United Kingdom,198.32
536593,16835,2010-12-01 17:15:00,United Kingdom,81.75
536594,15235,2010-12-01 17:22:00,United Kingdom,79.5
536595,13576,2010-12-01 17:24:00,United Kingdom,349.15
536597,18011,2010-12-01 17:35:00,United Kingdom,102.79
536598,13090,2010-12-02 07:48:00,United Kingdom,160.6
536599,15694,2010-12-02 07:49:00,United Kingdom,306.4
536600,17850,2010-12-02 08:32:00,United Kingdom,251.62
536601,17850,2010-12-02 08:33:00,United Kingdom,22.200000000000003
536602,17850,2010-12-02 08:34:00,United Kingdom,163.76000000000002
536603,17850,2010-12-02 08:40:00,United Kingdom,22.200000000000003
536604,14741,2010-12-02 08:43:00,United Kingdom,184.5
536605,13715,2010-12-02 08:52:00,United Kingdom,272.65
536607,17732,2010-12-02 09:29:00,United Kingdom,303.96999999999997
536608,12855,2010-12-02 09:37:00,United Kingdom,38.1
536609,17850,2010-12-02 09:41:00,United Kingdom,244.45999999999998
536610,17850,2010-12-02 09:42:00,United Kingdom,22.200000000000003
536611,15752,2010-12-02 09:43:00,United Kingdom,259.65
536612,17850,2010-12-02 09:44:00,United Kingdom,206.76000000000002
536613,17855,2010-12-02 09:44:00,United Kingdom,208.97
536614,17850,2010-12-02 09:44:00,United Kingdom,22.200000000000003
536615,14047,2010-12-02 10:09:00,United Kingdom,286.92
536616,17925,2010-12-02 10:10:00,United Kingdom,244.08
536617,13941,2010-12-02 10:17:00,United Kingdom,1095.12
536618,17017,2010-12-02 10:17:00,United Kingdom,780.12
536619,17017,2010-12-02 10:18:00,United Kingdom,97.19999999999999
536620,14135,2010-12-02 10:27:00,United Kingdom,485.25
536621,13108,2010-12-02 10:35:00,United Kingdom,350.05999999999995
536623,15601,2010-12-02 10:39:00,United Kingdom,768.3800000000001
536624,13418,2010-12-02 10:45:00,United Kingdom,610.64
536626,13418,2010-12-02 10:46:00,United Kingdom,12.600000000000001
536627,15658,2010-12-02 10:53:00,United Kingdom,306.2
536628,17850,2010-12-02 10:54:00,United Kingdom,230.55999999999997
536629,17850,2010-12-02 10:55:00,United Kingdom,22.200000000000003
536630,17850,2010-12-02 10:56:00,United Kingdom,244.45999999999998
536631,17850,2010-12-02 10:58:00,United Kingdom,22.200000000000003
536632,14388,2010-12-02 11:02:00,United Kingdom,312.79999999999995
536633,14901,2010-12-02 11:20:00,United Kingdom,204.15
536634,18041,2010-12-02 11:21:00,United Kingdom,193.78
536635,15955,2010-12-02 11:22:00,United Kingdom,572.38
536636,15070,2010-12-02 11:23:00,United Kingdom,106.2
536637,18041,2010-12-02 11:35:00,United Kingdom,235.15999999999997
536638,16244,2010-12-02 11:41:00,United Kingdom,1056.6299999999999
536639,15111,2010-12-02 11:45:00,United Kingdom,288.5
536641,12748,2010-12-02 11:46:00,United Kingdom,4.25
536643,14390,2010-12-02 11:57:00,United Kingdom,223.7
536663,16546,2010-12-02 12:07:00,United Kingdom,299.40000000000003
536667,15260,2010-12-02 12:09:00,United Kingdom,362.5
536670,15260,2010-12-02 12:09:00,United Kingdom,58.0
536671,13305,2010-12-02 12:10:00,United Kingdom,136.2
536672,14491,2010-12-02 12:10:00,United Kingdom,127.2
536673,14060,2010-12-02 12:11:00,United Kingdom,339.84
536674,15923,2010-12-02 12:16:00,United Kingdom,127.08000000000001
536676,16752,2010-12-02 12:18:00,United Kingdom,207.5
536681,17287,2010-12-02 12:22:00,United Kingdom,113.91999999999999
536685,17850,2010-12-02 12:23:00,United Kingdom,380.46000000000004
536688,17850,2010-12-02 12:24:00,United Kingdom,22.200000000000003
536690,17850,2010-12-02 12:25:00,United Kingdom,331.26
536693,17850,2010-12-02 12:26:00,United Kingdom,22.200000000000003
536698,15363,2010-12-02 12:28:00,United Kingdom,326.0
536707,12915,2010-12-02 12:33:00,United Kingdom,199.64999999999998
536732,15544,2010-12-02 12:47:00,United Kingdom,354.53999999999996
536733,15738,2010-12-02 12:50:00,United Kingdom,329.65000000000003
536735,17381,2010-12-02 12:58:00,United Kingdom,211.2
536736,17381,2010-12-02 12:59:00,United Kingdom,824.88
536738,15827,2010-12-02 13:06:00,United Kingdom,98.18000000000002
536739,14180,2010-12-02 13:08:00,United Kingdom,201.75
536740,15827,2010-12-02 13:08:00,United Kingdom,92.75000000000001
536741,13117,2010-12-02 13:11:00,United Kingdom,202.11999999999998
536742,16916,2010-12-02 13:14:00,United Kingdom,198.07999999999998
536743,17964,2010-12-02 13:32:00,United Kingdom,261.76
536744,14466,2010-12-02 13:36:00,United Kingdom,379.74999999999994
536745,17235,2010-12-02 13:38:00,United Kingdom,341.9
536746,16510,2010-12-02 13:39:00,United Kingdom,248.10000000000002
536747,17802,2010-12-02 13:44:00,United Kingdom,100.19999999999999
536748,15107,2010-12-02 13:45:00,United Kingdom,116.0
536749,17976,2010-12-02 13:49:00,United Kingdom,353.19000000000005
536750,17850,2010-12-02 14:04:00,United Kingdom,434.8
536751,17850,2010-12-02 14:05:00,United Kingdom,22.200000000000003
536752,17850,2010-12-02 14:06:00,United Kingdom,390.65999999999997
536753,17850,2010-12-02 14:07:00,United Kingdom,22.200000000000003
536754,14449,2010-12-02 14:09:00,United Kingdom,210.24
536759,16781,2010-12-02 14:26:00,United Kingdom,311.25
536761,13491,2010-12-02 14:30:00,United Kingdom,98.9
536762,16186,2010-12-02 14:40:00,United Kingdom,307.68000000000006
536763,17685,2010-12-02 14:42:00,United Kingdom,452.52
536769,17581,2010-12-02 14:47:00,United Kingdom,668.4
536771,17581,2010-12-02 14:49:00,United Kingdom,118.38
536777,15732,2010-12-02 15:00:00,United Kingdom,138.1
536778,13138,2010-12-02 15:03:00,United Kingdom,193.23000000000002
536779,15823,2010-12-02 15:08:00,United Kingdom,15.0
536781,17460,2010-12-02 15:14:00,United Kingdom,50.400000000000006
536782,17567,2010-12-02 15:18:00,United Kingdom,517.9499999999999
536783,15061,2010-12-02 15:19:00,United Kingdom,4076.48
536784,15061,2010-12-02 15:20:00,United Kingdom,2170.9
536785,15061,2010-12-02 15:22:00,United Kingdom,2730.96
536786,15061,2010-12-02 15:23:00,United Kingdom,324.0
536787,17850,2010-12-02 15:24:00,United Kingdom,192.46
536788,15061,2010-12-02 15:25:00,United Kingdom,75.0
536789,17850,2010-12-02 15:25:00,United Kingdom,22.200000000000003
536790,17850,2010-12-02 15:26:00,United Kingdom,532.01
536791,17850,2010-12-02 15:27:00,United Kingdom,44.400000000000006
536792,15061,2010-12-02 15:28:00,United Kingdom,30.0
536793,16203,2010-12-02 15:39:00,United Kingdom,170.7
536794,13767,2010-12-02 15:40:00,United Kingdom,322.79999999999995
536795,15640,2010-12-02 15:40:00,United Kingdom,333.7199999999999
536796,15574,2010-12-02 15:46:00,United Kingdom,375.65
536797,16770,2010-12-02 15:49:00,United Kingdom,130.8
536798,17838,2010-12-02 15:55:00,United Kingdom,717.1600000000002
536799,17228,2010-12-02 16:00:00,United Kingdom,183.3
536800,14829,2010-12-02 16:12:00,United Kingdom,236.96999999999997
536802,17412,2010-12-02 16:29:00,United Kingdom,197.3
536803,14911,2010-12-02 16:33:00,EIRE,22.5
536804,14031,2010-12-02 16:34:00,United Kingdom,1714.25
536805,14775,2010-12-02 16:38:00,United Kingdom,406.55999999999995
536806,12971,2010-12-02 16:42:00,United Kingdom,45.120000000000005
536808,17659,2010-12-02 16:46:00,United Kingdom,247.8
536809,15299,2010-12-02 16:48:00,United Kingdom,1003.2
536810,15299,2010-12-02 16:50:00,United Kingdom,303.96
536811,15299,2010-12-02 16:51:00,United Kingdom,527.85
536813,15646,2010-12-02 16:59:00,United Kingdom,189.8
536819,13402,2010-12-02 17:12:00,United Kingdom,308.28
536821,17757,2010-12-02 17:17:00,United Kingdom,143.45
536823,13011,2010-12-02 17:22:00,United Kingdom,50.550000000000004
536824,13798,2010-12-02 17:24:00,United Kingdom,408.0
536830,16754,2010-12-02 17:38:00,United Kingdom,2002.4
536831,16029,2010-12-02 17:40:00,United Kingdom,569.4
536832,16634,2010-12-02 17:41:00,United Kingdom,164.8
536833,18239,2010-12-02 17:48:00,United Kingdom,438.09999999999997
536834,14576,2010-12-02 17:51:00,United Kingdom,35.400000000000006
536835,13145,2010-12-02 18:06:00,United Kingdom,295.0
536836,18168,2010-12-02 18:08:00,United Kingdom,263.29999999999995
536837,14395,2010-12-02 18:15:00,United Kingdom,308.67999999999995
536838,14865,2010-12-02 18:23:00,United Kingdom,37.2
536839,15093,2010-12-02 18:25:00,United Kingdom,623.73
536840,12738,2010-12-02 18:27:00,Germany,155.35
536841,16150,2010-12-02 18:27:00,United Kingdom,393.41999999999996
536842,17552,2010-12-02 18:45:00,United Kingdom,263.62
536843,17552,2010-12-02 18:46:00,United Kingdom,34.9
536844,14236,2010-12-02 18:49:00,United Kingdom,189.3
536845,17961,2010-12-02 19:18:00,United Kingdom,127.55000000000001
536846,14573,2010-12-02 19:59:00,United Kingdom,413.09999999999997
536847,17135,2010-12-03 09:31:00,United Kingdom,215.58
536848,13408,2010-12-03 09:39:00,United Kingdom,534.0
536849,17396,2010-12-03 09:45:00,United Kingdom,397.5
536851,12967,2010-12-03 09:49:00,United Kingdom,1368.4
536852,12686,2010-12-03 09:51:00,France,89.14
536856,13370,2010-12-03 10:26:00,United Kingdom,754.8700000000001
536857,16883,2010-12-03 10:33:00,United Kingdom,128.02999999999997
536858,13520,2010-12-03 10:36:00,Switzerland,303.4
536859,12841,2010-12-03 10:43:00,United Kingdom,294.25
536860,16905,2010-12-03 10:43:00,United Kingdom,254.39999999999998
536861,12427,2010-12-03 10:44:00,Germany,303.5
536863,17967,2010-12-03 11:19:00,United Kingdom,123.07
536874,16891,2010-12-03 11:35:00,United Kingdom,232.26
536884,14589,2010-12-03 11:42:00,United Kingdom,39.75
536890,14156,2010-12-03 11:48:00,EIRE,322.2
536938,14680,2010-12-03 12:05:00,United Kingdom,1680.8799999999999
536943,17884,2010-12-03 12:11:00,United Kingdom,187.51000000000002
536944,12557,2010-12-03 12:20:00,Spain,620.0
536945,14083,2010-12-03 12:24:00,United Kingdom,309.53999999999996
536946,13013,2010-12-03 12:28:00,United Kingdom,841.9399999999999
536947,13013,2010-12-03 12:29:00,United Kingdom,686.4
536954,17809,2010-12-03 12:41:00,United Kingdom,425.0
536956,14210,2010-12-03 12:43:00,United Kingdom,304.95
536957,17809,2010-12-03 12:43:00,United Kingdom,791.7000000000002
536960,16477,2010-12-03 12:48:00,United Kingdom,225.65
536967,12600,2010-12-03 12:57:00,Germany,76.5
536968,16013,2010-12-03 13:09:00,United Kingdom,534.0
536969,16013,2010-12-03 13:10:00,United Kingdom,528.0
536970,17949,2010-12-03 13:12:00,United Kingdom,1314.0
536971,12779,2010-12-03 13:40:00,Poland,248.15999999999997
536972,16926,2010-12-03 13:42:00,United Kingdom,230.25000000000003
536973,17787,2010-12-03 13:43:00,United Kingdom,736.28
536974,12682,2010-12-03 13:59:00,France,336.24
536975,14911,2010-12-03 14:04:00,EIRE,1705.6500000000003
536976,14723,2010-12-03 14:18:00,United Kingdom,149.79999999999998
536977,17954,2010-12-03 14:18:00,United Kingdom,108.78
536980,17819,2010-12-03 14:26:00,United Kingdom,591.4699999999999
536981,14723,2010-12-03 14:26:00,United Kingdom,101.13999999999999
536983,12712,2010-12-03 14:30:00,Germany,175.53
536984,17841,2010-12-03 14:35:00,United Kingdom,339.5399999999999
536985,15373,2010-12-03 14:40:00,United Kingdom,334.3
536986,16140,2010-12-03 14:40:00,United Kingdom,124.14
536987,17198,2010-12-03 14:54:00,United Kingdom,272.01
536988,17238,2010-12-03 15:05:00,United Kingdom,254.39
536989,17238,2010-12-03 15:10:00,United Kingdom,115.7
536990,12793,2010-12-03 15:14:00,Portugal,131.8
536992,15769,2010-12-03 15:16:00,United Kingdom,91.8
536993,14396,2010-12-03 15:19:00,United Kingdom,110.35000000000001
536994,14898,2010-12-03 15:25:00,United Kingdom,98.50000000000001
537022,12725,2010-12-03 15:45:00,Italy,427.8
537023,16725,2010-12-03 16:02:00,United Kingdom,122.15
537026,12395,2010-12-03 16:35:00,Belgium,346.09999999999997
537030,16455,2010-12-03 16:44:00,United Kingdom,246.3
537031,16455,2010-12-03 16:45:00,United Kingdom,135.0
537034,13081,2010-12-03 17:20:00,United Kingdom,2355.1800000000003
537035,13081,2010-12-03 17:21:00,United Kingdom,11.6
537036,15545,2010-12-03 17:28:00,United Kingdom,135.32999999999998
537037,17243,2010-12-05 10:03:00,United Kingdom,256.9
537038,15465,2010-12-05 10:12:00,United Kingdom,535.75
537040,13089,2010-12-05 10:27:00,United Kingdom,734.3999999999999
537041,16033,2010-12-05 10:36:00,United Kingdom,155.63999999999996
537042,13838,2010-12-05 10:45:00,United Kingdom,238.10999999999996
537044,18055,2010-12-05 10:52:00,United Kingdom,431.45
537045,15038,2010-12-05 10:54:00,United Kingdom,126.43
537046,18109,2010-12-05 10:58:00,United Kingdom,277.45
537047,13069,2010-12-05 11:02:00,United Kingdom,326.6
537048,13069,2010-12-05 11:03:00,United Kingdom,5.9
537049,16241,2010-12-05 11:04:00,United Kingdom,277.65
537050,14800,2010-12-05 11:10:00,United Kingdom,555.84
537051,15708,2010-12-05 11:12:00,United Kingdom,350.67999999999995
537052,16839,2010-12-05 11:15:00,United Kingdom,552.24
537053,16168,2010-12-05 11:38:00,United Kingdom,275.8
537054,16931,2010-12-05 11:40:00,United Kingdom,152.04999999999998
537055,16814,2010-12-05 11:45:00,United Kingdom,273.28999999999996
537057,15351,2010-12-05 11:49:00,United Kingdom,274.67
537058,13269,2010-12-05 11:51:00,United Kingdom,351.43000000000006
537059,14813,2010-12-05 11:54:00,United Kingdom,127.98
537065,12567,2010-12-05 11:57:00,France,1526.92
537067,14813,2010-12-05 11:57:00,United Kingdom,27.45
537077,17062,2010-12-05 11:59:00,United Kingdom,179.64
537081,15332,2010-12-05 12:00:00,Lithuania,1145.06
537086,15332,2010-12-05 12:01:00,Lithuania,438.0
537090,15332,2010-12-05 12:02:00,Lithuania,15.0
537111,14810,2010-12-05 12:08:00,United Kingdom,180.44000000000003
537117,16353,2010-12-05 12:09:00,United Kingdom,204.0
537126,18118,2010-12-05 12:13:00,United Kingdom,475.86
537127,13831,2010-12-05 12:13:00,United Kingdom,408.0
537128,12841,2010-12-05 12:15:00,United Kingdom,211.74
537129,13506,2010-12-05 12:15:00,United Kingdom,301.11999999999995
537130,17796,2010-12-05 12:23:00,United Kingdom,114.65
537131,15716,2010-12-05 12:26:00,United Kingdom,547.0999999999999
537133,18156,2010-12-05 12:29:00,United Kingdom,206.23
537134,16983,2010-12-05 12:34:00,United Kingdom,163.49
537135,17059,2010-12-05 12:35:00,United Kingdom,722.3599999999999
537136,12748,2010-12-05 12:42:00,United Kingdom,273.76
537137,16327,2010-12-05 12:43:00,United Kingdom,535.6
537138,17211,2010-12-05 12:44:00,United Kingdom,273.29999999999995
537139,17026,2010-12-05 12:47:00,United Kingdom,33.15
537140,12748,2010-12-05 12:53:00,United Kingdom,70.41999999999999
537141,15570,2010-12-05 12:57:00,United Kingdom,517.65
537142,12748,2010-12-05 12:57:00,United Kingdom,41.45
537144,15880,2010-12-05 13:00:00,United Kingdom,343.28
537153,16718,2010-12-05 13:03:00,United Kingdom,623.7500000000001
537154,15808,2010-12-05 13:05:00,United Kingdom,1021.45
537155,12748,2010-12-05 13:05:00,United Kingdom,75.64000000000001
537156,17858,2010-12-05 13:08:00,United Kingdom,251.25
537158,16393,2010-12-05 13:10:00,United Kingdom,184.79999999999998
537159,14527,2010-12-05 13:17:00,United Kingdom,292.95
537160,14161,2010-12-05 13:18:00,United Kingdom,283.15
537163,17863,2010-12-05 13:21:00,United Kingdom,384.72
537176,16411,2010-12-05 13:26:00,United Kingdom,131.5
537179,13767,2010-12-05 13:29:00,United Kingdom,806.2800000000002
537192,16402,2010-12-05 13:42:00,United Kingdom,211.8
537193,15023,2010-12-05 13:49:00,United Kingdom,460.5999999999999
537194,17402,2010-12-05 13:53:00,United Kingdom,271.2
537195,15311,2010-12-05 13:55:00,United Kingdom,650.64
537196,15426,2010-12-05 13:55:00,United Kingdom,411.41999999999996
537197,12647,2010-12-05 14:02:00,Germany,286.49999999999994
537198,12647,2010-12-05 14:03:00,Germany,85.5
537199,15894,2010-12-05 14:06:00,United Kingdom,156.73999999999995
537200,15867,2010-12-05 14:17:00,United Kingdom,112.9
537201,12472,2010-12-05 14:19:00,Germany,1631.3
537202,14506,2010-12-05 14:25:00,United Kingdom,269.7
537204,15555,2010-12-05 14:45:00,United Kingdom,198.43
537205,13034,2010-12-05 14:52:00,United Kingdom,165.85999999999999
537206,15235,2010-12-05 15:02:00,United Kingdom,85.55000000000001
537207,17402,2010-12-05 15:06:00,United Kingdom,188.77
537208,15889,2010-12-05 15:12:00,United Kingdom,297.91999999999996
537209,14606,2010-12-05 15:12:00,United Kingdom,192.68
537210,15953,2010-12-05 15:15:00,United Kingdom,209.83999999999997
537211,16143,2010-12-05 15:18:00,United Kingdom,355.75
537212,12720,2010-12-05 15:21:00,Germany,473.39
537213,12748,2010-12-05 15:26:00,United Kingdom,8.649999999999999
537214,16422,2010-12-05 15:35:00,United Kingdom,1668.2
537215,12747,2010-12-05 15:38:00,United Kingdom,358.55999999999995
537216,15502,2010-12-05 15:40:00,United Kingdom,569.5
537217,15502,2010-12-05 15:40:00,United Kingdom,167.20000000000002
537218,12763,2010-12-05 15:46:00,Japan,320.08000000000004
537219,14081,2010-12-05 15:47:00,United Kingdom,423.5199999999999
537221,17965,2010-12-05 15:54:00,United Kingdom,37.35
537222,14404,2010-12-05 16:00:00,United Kingdom,133.48
537223,13579,2010-12-05 16:10:00,United Kingdom,164.70000000000002
537224,13174,2010-12-05 16:24:00,United Kingdom,1415.97
537225,12748,2010-12-05 16:41:00,United Kingdom,496.48
537226,15987,2010-12-06 08:34:00,United Kingdom,113.47999999999999
537227,17677,2010-12-06 08:42:00,United Kingdom,922.4
537228,17677,2010-12-06 08:43:00,United Kingdom,25.200000000000003
537229,17677,2010-12-06 08:44:00,United Kingdom,17.4
537231,13652,2010-12-06 09:21:00,United Kingdom,308.8
537233,17428,2010-12-06 09:37:00,United Kingdom,353.00000000000006
537235,17381,2010-12-06 09:45:00,United Kingdom,2567.64
537236,16858,2010-12-06 09:52:00,United Kingdom,375.69000000000005
537238,16161,2010-12-06 10:03:00,United Kingdom,164.2
537239,18219,2010-12-06 10:05:00,United Kingdom,210.19
537241,14293,2010-12-06 10:18:00,United Kingdom,364.91999999999996
537242,14748,2010-12-06 10:19:00,United Kingdom,412.22
537243,16638,2010-12-06 10:19:00,United Kingdom,50.400000000000006
537244,17674,2010-12-06 10:20:00,United Kingdom,300.66
537245,14748,2010-12-06 10:24:00,United Kingdom,58.2
537246,12808,2010-12-06 10:27:00,Portugal,129.4
537247,13094,2010-12-06 10:34:00,United Kingdom,223.68
537248,15899,2010-12-06 10:36:00,United Kingdom,56.25
537249,16955,2010-12-06 10:38:00,United Kingdom,33.0
537250,12708,2010-12-06 10:43:00,Germany,196.44
537254,15898,2010-12-06 11:01:00,United Kingdom,382.69
537255,14443,2010-12-06 11:03:00,United Kingdom,303.5
537256,16210,2010-12-06 11:06:00,United Kingdom,2263.7999999999997
537257,17691,2010-12-06 11:10:00,United Kingdom,142.5
537258,17227,2010-12-06 11:16:00,United Kingdom,142.25
537262,15039,2010-12-06 11:26:00,United Kingdom,611.51
537265,15919,2010-12-06 11:26:00,United Kingdom,270.72
537298,13497,2010-12-06 11:37:00,United Kingdom,153.5
537301,15860,2010-12-06 11:38:00,United Kingdom,102.66
537312,14189,2010-12-06 11:42:00,United Kingdom,311.24
537313,15304,2010-12-06 11:42:00,United Kingdom,123.15
537332,14344,2010-12-06 11:58:00,United Kingdom,322.8
537334,16719,2010-12-06 12:06:00,United Kingdom,430.72999999999996
537335,15048,2010-12-06 12:15:00,United Kingdom,98.70000000000002
537346,15301,2010-12-06 12:21:00,United Kingdom,673.37
537350,14708,2010-12-06 12:23:00,United Kingdom,419.05999999999995
537351,16898,2010-12-06 12:23:00,United Kingdom,116.07999999999998
537354,12748,2010-12-06 12:23:00,United Kingdom,133.07
537359,14825,2010-12-06 12:30:00,United Kingdom,184.10000000000002
537360,18113,2010-12-06 12:31:00,United Kingdom,76.32000000000001
537362,17596,2010-12-06 12:34:00,United Kingdom,392.62
